,PREDICT
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,0
610,1
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,0
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,1
