,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,TARGET_XF
0,-0.2395340640284893,-1.4147552242180947,-0.25525416013212854,-0.5062429864268062,0,0.7415534476547161,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,5.3,4.233333333,0.258981529,-1.0158860691240428,-1.0158860782296937,1.2675913081877634,1.0,-1.4506451796104807,0,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
3,1.6560072286863015,0.40739334059411014,-0.25525416013212854,-0.5062429864268062,1,-0.1586656387448728,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.5873370139999999,0.751791378,0.491040703,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,1.6691055284438088,1,2,0.29740955064721825,0,0,0,0,0,0,1,0,1,0,0,0.0,1,1
4,-0.5228509559561128,0.5896081970753306,-0.25525416013212854,-0.5062429864268062,0,-0.4064323597722826,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.919117647,0.827205882,0.397216199,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,1.6691055284438088,1,1,-1.472373121354777,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
5,-0.5022210851846838,-1.505862652458705,-0.25525416013212854,-0.5062429864268062,0,-0.5303157202859875,1.0,-0.766503803547506,0.666666667,0.018278134323173975,1,0.223613596,0.670840787,0.477223822,-1.2356190586519338,-1.2356190673880108,0.08411257807532314,0.5,1.6691055284438088,0,0,0.29740955064721825,0,0,0,0,0,1,0,0,0,0,0,0.0,1,1
6,-0.7552808333142115,-1.4147552242180947,-0.25525416013212854,-0.5062429864268062,0,-0.4229501411741099,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,1.2,1.0,0.128264085,-1.0158860691240428,-1.0158860782296937,1.2675913081877634,1.0,-1.4506451796104807,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
7,-0.44755192764039725,1.136252766518992,-0.25525416013212854,-0.5062429864268062,0,-0.45736328694667694,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.577586639,1.002087683,0.171320906,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8,-0.5527642685746846,-1.4147552242180947,-0.25525416013212854,0.2745394657160757,1,-0.2660312178567504,1.666666667,0.014278648595375922,1.0,1.137290632171733,2,1.771182384,0.8137865009999999,0.415284921,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,2.2930556700546667,1,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
9,-0.6528191418161147,-0.3214660853307718,-2.096205926552695,0.2745394657160757,0,-0.5200251424726491,3.333333333,0.6649306917875166,0.708333333,1.137290632171733,1,0.347385984,3.225806452,0.555393806,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,-0.20274489638876494,1,1,-0.36625895135353,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1
11,0.6499571973996195,-0.9592180830150435,1.5856976062884378,-0.5062429864268062,1,0.5846345243373566,1.5,-0.2459821693061065,0.833333333,0.018278134323173975,0,2.505817075,3.937712547,0.536149385,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,2,0.29740955064721825,1,0,1,0,0,0,1,1,0,0,0,0.0,1,1
13,-0.1927730236132505,-0.9592180830150435,-0.25525416013212854,0.2745394657160757,1,0.32860891260903313,2.0,0.2745394657160757,1.0,1.137290632171733,2,3.4757653060000004,2.104591837,0.413239562,-1.0891303989666732,-1.0891304080956212,0.8730983981502833,0.833333333,-1.4506451796104807,1,0,-0.5874817853537794,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
22,3.084625779607752,0.49850076883472044,-0.25525416013212854,3.3976692742876033,1,4.515536142344223,6.0,2.2264955960732804,0.75,5.6133406235659695,4,4.862330281,1.626144616,0.5029523379999999,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
26,-0.15288860678848798,0.7718230535565511,-0.25525416013212854,0.2745394657160757,0,-0.018264496829340574,2.0,0.2745394657160757,1.0,1.137290632171733,2,2.060270603,0.922509225,0.40703804,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,-0.20274489638876494,1,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
28,0.03656237312913397,0.6807156253159409,1.5856976062884378,-0.5062429864268062,0,-0.43432758900368856,1.0,-0.8966342124982472,0.5,0.018278134323173975,1,0.437086511,3.155403629,0.397641476,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,0,0,0.29740955064721825,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1
30,-0.6937350521794486,-0.9592180830150435,-0.25525416013212854,-0.5062429864268062,0,-0.5303157202859875,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.297796307,0.8338296609999999,0.339356823,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,0.42120524522209296,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
31,0.11289289498342085,0.6807156253159409,1.5856976062884378,-0.5062429864268062,0,-0.5468335016878147,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.074534161,1.167701863,0.405582714,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,2,0.29740955064721825,0,0,0,1,0,0,1,0,0,0,0,0.0,1,1
32,-0.7552808333142115,-0.8681106547744333,-0.25525416013212854,-0.5062429864268062,0,-0.2060179885785613,1.0,-0.8966342124982472,0.5,0.018278134323173975,1,2.9511,1.0,0.183133269,-1.0158860691240428,-1.0158860782296937,1.2675913081877634,1.0,-0.20274489638876494,1,1,-0.5874817853537794,0,0,1,0,0,0,0,0,0,0,0,0.0,1,1
36,-0.7401522614151637,-0.5036809418119923,-0.25525416013212854,-1.2870254385696882,1,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.647668394,0.132276845,-1.308863388494564,-1.3088633972539383,-0.310380331962157,0.333333333,1.6691055284438088,1,1,-2.1360416233555255,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
37,-0.31414542998515715,-0.9592180830150435,-2.096205926552695,1.0553219178589575,0,-0.4064323597722826,3.0,0.014278648595375922,0.5555555560000001,2.2563031300202923,2,0.71864894,1.0061085159999998,0.316701556,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,2,-1.6935959553550264,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1
40,-0.6971733639746868,0.6807156253159409,1.5856976062884378,-0.5062429864268062,0,1.906057036483542,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,17.97483523,3.475134811,0.224108841,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,0,1,-2.1360416233555255,0,0,0,1,1,0,0,0,0,0,0,0.0,1,1
41,-0.31414542998515715,0.8629304817971614,-0.25525416013212854,1.8361043700018393,1,-0.3509408731528437,4.0,1.0553219178589575,0.75,3.3753156278688516,3,0.960079051,1.0061085159999998,0.185773864,-1.308863388494564,-1.3088633972539383,-0.310380331962157,0.333333333,-0.20274489638876494,0,2,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
42,-0.7552808333142115,-1.4147552242180947,1.5856976062884378,-0.5062429864268062,0,-0.4064323597722826,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,1.333333333,1.0,0.285368833,-1.0158860691240428,-1.0158860782296937,1.2675913081877634,1.0,-0.20274489638876494,0,2,0.29740955064721825,0,0,1,0,0,1,0,0,0,0,0,0.0,1,1
43,-0.6528191418161147,-0.8681106547744333,-0.25525416013212854,-0.5062429864268062,0,-0.4477268132768509,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.834260289,0.834260289,0.289551797,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,1.6691055284438088,0,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
47,-0.13844769724848777,-0.777003226533823,-2.096205926552695,0.2745394657160757,2,0.24602000559989654,2.0,-0.11585176035536529,0.75,1.137290632171733,1,3.005464481,3.885853066,0.106890479,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,0,2,0.29740955064721825,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1
48,-0.5228509559561128,0.22517848411288968,1.5856976062884378,0.2745394657160757,0,-0.2825489992585777,2.666666667,0.4046698746668167,0.833333333,1.137290632171733,2,1.608455882,0.827205882,0.256544008,-1.3821077183371944,-1.3821077266804,-0.7048732419996371,0.166666667,0.42120524522209296,1,2,0.29740955064721825,0,0,0,0,1,0,1,0,0,0,0,0.0,1,1
