MES_CORTE,ID,LINEA_TC,TIPO_FLUJO_TC,INGRESO_BRUTO,EDAD,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,NRO_PAS_PBK,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,EMP_REP_TC_SF,EMP_REP_PP_SF,EMP_REP_CONV_SF,EMP_REP_VEH_SF,EMP_REP_HIP_SF,SALDO_TC_SF,SALDO_PP_SF,SALDO_CONV_SF,SALDO_VEH_SF,SALDO_HIP_SF,SALDO_TCSF_UU6,MAX_SALDO_TCSF_U6,MIN_SALDO_TCSF_U6,MAX_LINEA_TCSF,MIN_LINEA_TCSF,LINEA_TOT_TCSF,MAX_SALTC_SF_UM,MIN_SALTC_SF_UM,SALDO_SF_UM,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,IND_DEU_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,RECENCIA_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TARGET_XF
201601,140047205,12700,100APRO,3000,23,F,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,1423.84,0.0,0.0,0.0,0.0,466.5216667,466.5216667,466.5216667,15900.0,15900.0,15900.0,1423.84,1423.84,1423.84,1.0,1.0,1.0,1,1,5.3,4.233333333,0.474613333,0.258981529,6.0,1.0,1.0,6,1.0,1
201601,95213913,1000,FAST2,1200,23,M,DEPENDIENTE,AREQUIPA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,608.73,4156.13,0.0,0.0,0.0,598.165,598.165,598.165,2400.0,2400.0,2400.0,608.73,608.73,608.73,1.0,1.0,1.0,1,1,2.0,0.833333333,3.970716667,0.18579993,2.0,0.333333333,5.0,2,0.333333333,1
201601,85772035,1250,REG1,0,31,M,0,PUNO,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.318946102,,,,0,0.0,1
201601,21212645,6400,REG1,8513,43,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,1,0,0,0.0,1,1,1,1,0,0,3664.93,6102.55,38227.24,0.0,0.0,4669.956667,4669.956667,4669.956667,5000.0,5000.0,5000.0,3664.93,3664.93,3664.93,1.0,1.0,1.0,1,1,0.5873370139999999,0.751791378,5.6378151060000015,0.491040703,1.0,0.166666667,6.0,1,0.166666667,1
201601,51417425,1800,REG1,2176,45,M,INDEPENDIENTE,CALLAO,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,1085.14,0.0,0.0,0.0,0.0,1643.448333,1643.448333,1643.448333,2000.0,2000.0,2000.0,1085.14,1085.14,1085.14,1.0,1.0,1.0,1,1,0.919117647,0.827205882,0.498685662,0.397216199,,,,0,0.0,1
201601,95651863,1500,REG1,2236,22,F,DEPENDIENTE,LIMA,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,1,0,0,0,0,110.5,0.0,0.0,0.0,0.0,159.96333330000004,159.96333330000004,159.96333330000004,500.0,500.0,500.0,110.5,110.5,110.5,1.0,0.666666667,0.666666667,1,1,0.22361359600000005,0.670840787,0.049418605,0.477223822,3.0,0.5,1.0,3,0.5,1
201601,140988835,1500,100APRO,1500,23,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,488.54,0.0,0.0,0.0,0.0,447.7783333,447.7783333,447.7783333,1800.0,1800.0,1800.0,488.54,488.54,488.54,1.0,1.0,1.0,1,1,1.2,1.0,0.32569333300000003,0.128264085,6.0,1.0,1.0,6,1.0,1
201601,15140131,2400,FAST1,2395,51,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,98.8,0.0,0.0,0.0,0.0,240.0133333,240.0133333,240.0133333,1383.32,1383.32,1383.32,98.8,98.8,98.8,1.0,1.0,1.0,1,1,0.577586639,1.002087683,0.04125261,0.17132090600000002,,,,0,0.0,1
201601,95237389,1700,REG2,2089,23,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,5151.81,2384.31,0.0,0.0,0.0,4855.2425,5124.97,4585.515,3700.0,3700.0,7400.0,3428.07,1723.74,5151.81,1.666666667,1.666666667,1.0,2,2,1.771182384,0.8137865009999999,3.607525132,0.415284921,1.0,0.166666667,6.0,1,0.166666667,1
201601,82869629,5800,FAST1,1798,35,M,INDEPENDIENTE,JUNIN,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,0,116.49,0.0,0.0,0.0,0.0,5484.699583,6547.3625,4422.036667,624.6,500.0,1124.6,116.49,0.0,116.49,3.333333333,2.5,0.708333333,2,1,0.347385984,3.225806452,0.064788654,0.555393806,1.0,0.166666667,1.0,1,0.166666667,1
201601,84329167,2000,FAST1,1132,32,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,2160.67,0.0,0.0,0.0,0.0,1211.22,1211.22,1211.22,7100.0,7100.0,7100.0,2160.67,2160.67,2160.67,1.0,0.75,0.75,1,1,6.2720848060000005,1.7667844519999998,1.908719081,0.415470279,6.0,1.0,1.0,6,1.0,1
201601,88552321,22000,FAST1,5587,28,M,MIXTO,LIMA,1,0,1,0,0,0,1,2,1,0,0,0,0.0,1,1,1,0,0,0,0.0,19686.63,0.0,0.0,0.0,2914.481667,3818.863333,2010.1,14000.0,14000.0,14000.0,0.0,0.0,0.0,1.5,1.333333333,0.833333333,1,0,2.505817075,3.937712547,3.523649544,0.536149385,,,,0,0.0,1
201601,35941493,1800,FAST1,1665,68,M,INDEPENDIENTE,LA LIBERTAD,0,0,1,0,0,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.081081081,0.0,0.452240701,5.0,0.833333333,1.0,5,0.833333333,1
201601,88190843,6600,100APRO,3136,28,M,DEPENDIENTE,ICA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,3915.7,7408.1,0.0,0.0,0.0,4528.703333,4528.703333,4528.703333,10900.0,3000.0,13900.0,2778.19,1137.51,3915.7,2.0,2.0,1.0,2,2,3.4757653060000004,2.104591837,3.610905612,0.413239562,5.0,0.833333333,1.0,5,0.833333333,1
201601,16065035,1000,REG1,1382,63,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,2446.11,0.0,0.0,0.0,0.0,2091.903333,2091.903333,2091.903333,2600.0,8.99,2608.99,2437.12,8.99,2446.11,2.0,2.0,1.0,2,2,1.881331404,0.7235890009999999,1.7699782919999998,0.210540838,1.0,0.166666667,6.0,1,0.166666667,1
201601,13284777,1800,REG1,2129,63,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8454673559999999,0.0,0.290404457,1.0,0.166666667,6.0,1,0.166666667,1
201601,94356493,1300,FAST2,1377,24,F,INDEPENDIENTE,LIMA,0,0,0,0,1,0,1,2,0,0,0,0,0.0,1,1,0,0,0,0,5668.01,0.0,0.0,0.0,0.0,8125.4540000000015,8125.4540000000015,8125.4540000000015,11100.0,11100.0,11100.0,5668.01,5668.01,5668.01,1.0,1.0,1.0,1,1,8.061002178999999,0.944081336,4.116201888,0.224510649,,,,0,0.0,1
201601,93508603,3840,REG1,0,25,F,DEPENDIENTE,LIMA,0,0,0,0,1,1,0,2,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.394442066,,,,0,0.0,1
201601,14984715,1044,FAST,0,42,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.274955117,1.0,0.166666667,6.0,1,0.166666667,1
